Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,Label
16795,79,75,88780,96,3,1,BENIGN
1860,20,88,37741,852,9,13,BENIGN
77820,64,70,27898,957,1,12,BENIGN
55886,93,61,86674,274,2,23,BENIGN
7265,93,26,63948,841,4,4,BENIGN
83386,67,71,62768,551,2,33,BENIGN
38194,83,83,44262,401,4,22,BENIGN
88498,3,70,6506,241,3,18,BENIGN
45131,54,29,21605,910,9,29,BENIGN
61263,78,66,79590,597,2,48,BENIGN
17023,64,19,29231,456,5,42,BENIGN
42090,40,68,80397,138,7,15,BENIGN
68221,59,58,78123,280,3,49,BENIGN
65820,55,70,14515,98,8,39,BENIGN
1769,62,57,88211,475,5,33,BENIGN
60735,4,37,39622,943,4,48,BENIGN
63955,60,61,17600,179,2,10,BENIGN
65925,75,92,28892,137,4,13,BENIGN
68969,95,30,84279,183,4,47,BENIGN
6311,96,71,70310,958,3,46,BENIGN
84104,91,73,22801,35,5,14,BENIGN
54707,30,25,38695,582,2,34,BENIGN
86305,2,97,29853,520,9,6,BENIGN
29693,62,65,5429,497,0,28,BENIGN
72932,49,6,5606,900,6,43,BENIGN
94016,9,18,5478,588,6,21,BENIGN
26658,92,10,84816,959,3,22,BENIGN
85478,31,92,41134,415,8,23,BENIGN
19431,98,11,70963,35,1,34,BENIGN
3747,61,97,71897,92,0,9,BENIGN
60150,79,65,26475,373,2,7,BENIGN
66725,48,77,67177,376,6,47,BENIGN
85654,25,84,22730,69,8,47,BENIGN
36773,36,65,22113,560,1,11,BENIGN
68435,8,52,21011,644,5,28,BENIGN
57886,73,67,56746,301,2,28,BENIGN
67803,58,82,43853,798,4,22,BENIGN
32551,45,78,86195,946,8,25,BENIGN
12394,62,31,37818,895,2,36,BENIGN
70092,39,91,38321,825,0,31,BENIGN
4890,96,17,22309,803,4,37,BENIGN
42606,58,55,19688,200,0,5,BENIGN
97276,81,93,29176,470,7,7,BENIGN
81038,99,36,69879,813,6,16,BENIGN
88313,83,26,68592,673,1,11,BENIGN
11627,64,53,85728,905,8,21,BENIGN
9792,44,17,90012,242,4,13,BENIGN
74969,29,86,10416,483,6,33,BENIGN
44001,59,25,40994,414,3,18,BENIGN
77552,71,2,67422,667,0,5,BENIGN
24897,92,86,9584,280,7,17,BENIGN
69148,9,5,94302,856,0,35,BENIGN
24483,92,4,19830,143,2,36,BENIGN
49555,6,36,86825,180,5,37,BENIGN
18159,29,6,78066,424,7,14,BENIGN
81077,58,21,4591,37,7,37,BENIGN
36920,17,77,94878,145,1,39,BENIGN
93067,16,89,22395,934,8,8,BENIGN
68121,87,26,55182,414,3,5,BENIGN
70479,95,55,17738,986,3,1,BENIGN
90475,3,39,3631,897,1,15,BENIGN
20457,21,84,18905,514,0,0,BENIGN
67557,64,33,20056,250,9,29,BENIGN
78189,90,14,90082,865,6,47,BENIGN
79953,36,56,36447,963,9,32,BENIGN
53995,86,81,55418,453,2,0,BENIGN
41757,62,21,38190,443,3,38,BENIGN
10692,42,46,27014,237,8,15,BENIGN
46758,76,16,73999,518,5,16,BENIGN
73409,42,16,51278,808,0,47,BENIGN
72211,61,84,2780,312,8,47,BENIGN
66697,13,29,92643,43,8,37,BENIGN
38065,11,92,60258,11,4,17,BENIGN
93093,54,8,98123,371,7,21,BENIGN
33606,16,88,43192,204,6,21,BENIGN
12534,8,3,60300,615,7,34,BENIGN
95663,59,89,91504,849,8,30,BENIGN
41397,57,19,44923,317,1,39,BENIGN
92387,40,97,90196,656,9,26,BENIGN
2016,59,66,3395,725,4,35,BENIGN
90789,2,79,98384,259,7,3,BENIGN
56591,94,86,16779,156,2,48,BENIGN
90812,94,74,72028,355,5,4,BENIGN
24247,76,82,30722,357,5,24,BENIGN
25300,10,22,8111,263,6,30,BENIGN
75065,44,46,10984,408,2,13,BENIGN
83798,11,91,98552,343,7,29,BENIGN
10268,79,13,94176,185,7,46,BENIGN
87807,80,33,73328,134,8,11,BENIGN
13185,81,5,27924,772,7,26,BENIGN
64704,90,90,53703,407,2,44,BENIGN
87779,2,77,33577,140,5,23,BENIGN
40099,50,27,8711,571,8,29,BENIGN
9571,12,78,86548,614,0,17,BENIGN
39044,90,24,5096,901,2,13,BENIGN
52214,23,67,67555,831,1,18,BENIGN
62228,18,63,90848,911,7,21,BENIGN
49984,62,94,76012,954,5,25,BENIGN
41774,96,99,9254,416,9,6,BENIGN
3568,62,48,98955,741,7,27,BENIGN
63592,38,63,78120,855,1,37,BENIGN
68563,67,78,6965,343,5,4,BENIGN
3695,38,12,78000,29,6,35,BENIGN
49190,67,28,78975,214,7,17,BENIGN
6258,94,44,58987,612,8,13,BENIGN
88538,61,93,33963,965,4,47,BENIGN
40504,1,43,94976,364,2,22,BENIGN
34159,94,17,4273,182,1,13,BENIGN
14986,45,40,16330,198,7,31,BENIGN
62858,96,49,22494,833,0,4,BENIGN
13666,28,85,77422,11,9,21,BENIGN
39660,21,57,4212,882,5,27,BENIGN
4561,13,87,84441,950,1,42,BENIGN
27854,27,84,88594,177,2,11,BENIGN
65505,7,64,2080,377,7,17,BENIGN
53251,22,75,33675,545,0,35,BENIGN
23662,74,57,23007,934,5,30,BENIGN
9392,53,98,83641,972,2,12,BENIGN
31535,79,74,96815,886,5,19,BENIGN
79603,79,74,47815,589,2,44,BENIGN
53256,4,70,84482,379,7,35,BENIGN
90135,96,88,1639,715,4,6,BENIGN
36222,23,76,64593,605,3,22,BENIGN
78373,70,43,79038,959,8,33,BENIGN
80575,88,23,94899,446,4,49,BENIGN
97354,84,27,4736,216,3,31,BENIGN
85651,84,58,17473,58,7,20,BENIGN
64335,76,37,35019,553,7,5,BENIGN
11965,33,6,87623,838,7,15,BENIGN
25538,28,65,95025,691,3,34,BENIGN
71592,8,6,37820,138,0,46,BENIGN
99018,1,50,85861,456,1,19,BENIGN
9110,37,22,58589,623,3,41,BENIGN
80309,63,88,66807,44,9,40,BENIGN
28266,22,25,19414,828,1,10,BENIGN
53992,70,79,25220,208,9,31,BENIGN
83948,21,90,61531,822,2,13,BENIGN
99806,96,72,43425,86,8,23,BENIGN
7910,35,51,10387,378,8,43,BENIGN
91982,79,88,77815,842,8,38,BENIGN
1206,5,48,28584,535,6,42,BENIGN
88054,60,70,45783,358,3,30,BENIGN
88897,46,99,40809,515,0,16,BENIGN
24419,50,65,55327,652,2,24,BENIGN
